Subject,Subject Desc,Course Number,Title,Academic Period,Academic Period Desc,Section,CRN,Instructor,A,A-,A+,AU,B,B-,B+,C,C-,C+,D,D-,D+,E,F,FN,I,IF,N,NS,P,PI,S,SI,U,W,WF,WN,WU,
,,,,,,002,24842,"Friedman, Alan M.",5.7%,5.7%,17.4%,,9.8%,5.3%,6.4%,4.5%,4.2%,4.2%,6.8%,7.6%,4.2%,,8.0%,,0.8%,,,,,,,,,9.5%,,,,
,,23200,Lab Bio III Cell Strct,202210,Fall 2021,001,38060,"Karve, Rucha A.",46.8%,,15.5%,,13.2%,,14.7%,3.0%,,1.9%,1.5%,,,,1.1%,,,,,,,,,,,2.3%,,,,
,,,,,,002,24474,"Karve, Rucha A.",45.9%,,12.2%,,11.9%,,19.6%,2.6%,,2.6%,2.2%,,,,1.9%,,,,,,,,,,,1.1%,,,,
,,,Lab Bio III Cell Strct-Honors,202210,Fall 2021,002,24474,"Karve, Rucha A.",,,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,28600,Intro To Ecol & Evol,202210,Fall 2021,001,18366,"Lucas, Jeffrey R.",12.8%,,,,20.5%,5.1%,17.9%,10.3%,10.3%,12.8%,5.1%,,,,2.6%,,,,,,,,,,,,2.6%,,,
,,29500,Teach Cell Struc & Function,202210,Fall 2021,011,50425,"Karve, Rucha A.",30.6%,,69.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Teach Fundamentals Biology,202210,Fall 2021,003,49455,"Browning, Mark E.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Teach Human Antmy&Physiology,202210,Fall 2021,007,50421,"Fekete, Donna M.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,39500,Macromolecules,202210,Fall 2021,007,28449,"Jiang, Wen",,32.0%,24.0%,,,8.0%,12.0%,,,4.0%,,8.0%,,,8.0%,,,,,,,,,,,4.0%,,,,
,,,The COVID-19 Pandemic,202210,Fall 2021,006,24882,"Sanders, David A.",10.5%,26.3%,,,21.1%,,,15.8%,,5.3%,,,,,5.3%,,,,,,,,,,,10.5%,5.3%,,,
,,39600,Premed Planning Sem,202210,Fall 2021,001,68629,"Hines-Pham, Caralynn S.",,,,,,,,,,,,,,,,,,,,,,,100.0%,,,,,,,
,,42000,Eukaryotic Cell Biol,202210,Fall 2021,001,25008,"Aguilar, Ruben C.",29.2%,,36.0%,,20.2%,1.1%,2.2%,5.6%,,3.4%,1.1%,,,,,,,,,,,,,,,1.1%,,,,
,,43600,Neurobiology,202210,Fall 2021,001,11469,"Suter, Daniel M.",21.6%,12.5%,5.7%,,12.5%,4.5%,5.7%,9.1%,5.7%,5.7%,4.5%,4.5%,,,2.3%,,,,,,,,,,,5.7%,,,,
,,,Neurobiology-Honors,202210,Fall 2021,001,11469,"Suter, Daniel M.",50.0%,50.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,43800,General Microbiology,202210,Fall 2021,001,12403,"Applegate, Bruce M.",3.0%,6.0%,3.8%,,12.0%,8.3%,8.3%,18.8%,4.5%,6.8%,3.8%,6.0%,4.5%,,6.0%,,0.8%,,,,,,,,,7.5%,,,,
,,43900,Lab In Gen Microbiol,202210,Fall 2021,001,12404,"Pappas, Donald L.",13.6%,18.2%,,,27.3%,,18.2%,4.5%,,13.6%,,,4.5%,,,,,,,,,,,,,,,,,
,,,,,,002,12405,"Pappas, Donald L.",13.6%,31.8%,4.5%,,27.3%,4.5%,13.6%,,,,,4.5%,,,,,,,,,,,,,,,,,,
,,,,,,003,59201,"Pappas, Donald L.",18.2%,31.8%,,,9.1%,13.6%,13.6%,4.5%,,4.5%,,,4.5%,,,,,,,,,,,,,,,,,
,,44100,Senior Sem In Genetics,202210,Fall 2021,001,59901,"Hanna, Jason A.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,002,18697,"Hanna, Jason A.",76.5%,,,,5.9%,,,11.8%,,,,,,,5.9%,,,,,,,,,,,,,,,
,,47800,Intro Bioinformatics,202210,Fall 2021,001,15065,"Gribskov, Michael R.",70.0%,,,,25.0%,,,,,,,,,,,,,,,,,,,,,5.0%,,,,
,,53300,Medical Microbiology,202210,Fall 2021,001,16970,"Mattoo, Seema",37.5%,2.5%,20.0%,2.5%,7.5%,2.5%,10.0%,12.5%,,2.5%,,,,,2.5%,,,,,,,,,,,,,,,
,,53700,Immunobiology,202210,Fall 2021,001,21597,"Deng, Qing",15.4%,12.5%,58.7%,1.0%,1.9%,1.9%,5.8%,1.0%,,,,,,,1.0%,,,,,,,,,,,1.0%,,,,
,,54100,Molec Genetics Of Bact,202210,Fall 2021,001,15411,"Csonka, Leslie N.",13.8%,3.4%,17.2%,,10.3%,,20.7%,6.9%,13.8%,6.9%,3.4%,,,,,,,,,,,,,,,3.4%,,,,
,,58210,Ecological Statistics,202210,Fall 2021,001,17607,"Fernandez-Juricic, Esteban",40.0%,2.0%,30.0%,2.0%,8.0%,,10.0%,2.0%,,,,,2.0%,,4.0%,,,,,,,,,,,,,,,
,,59100,Field Ecology,202210,Fall 2021,002,20260,"Searle, Catherine L.",73.7%,15.8%,,,,5.3%,5.3%,,,,,,,,,,,,,,,,,,,,,,,
,,59500,Ecology,202210,Fall 2021,022,18210,"Bernal, Ximena",15.4%,,12.3%,1.5%,32.3%,,,24.6%,,,6.2%,,,,3.1%,,1.5%,,,,,,,,,1.5%,1.5%,,,
,,,Laboratory In Ecology,202210,Fall 2021,023,18213,"Zielinski, Denise L.",54.2%,8.3%,25.0%,,4.2%,4.2%,4.2%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,024,18214,"Zielinski, Denise L.",29.2%,16.7%,8.3%,,,8.3%,12.5%,,4.2%,,,,,,4.2%,,,,,,,,,,,16.7%,,,,
,,,Meth Meas Biophys Chem,202210,Fall 2021,002,40131,"Stauffacher, Cynthia V.",20.0%,30.0%,,,20.0%,5.0%,15.0%,,,,,,,,,,5.0%,,,,,,,,,5.0%,,,,
,,,Neurobiol Learning & Memory,202210,Fall 2021,035,21864,"Chubykin, Alexander A.",97.9%,,,,2.1%,,,,,,,,,,,,,,,,,,,,,,,,,
,,60200,Cellular Neurobiology,202210,Fall 2021,004,23396,"Chubykin, Alexander A.",44.4%,33.3%,,,11.1%,,5.6%,,,5.6%,,,,,,,,,,,,,,,,,,,,
,,66200,Sem Methods Prof Dev I,202210,Fall 2021,001,11449,"Mattoo, Seema",45.0%,,42.5%,,2.5%,,10.0%,,,,,,,,,,,,,,,,,,,,,,,
,,69100,Biological Res Mthds,202210,Fall 2021,001,12514,"Suter, Daniel M.",,,,,,,,,,,,,,,,,,,,,100.0%,,,,,,,,,
,,,,,,002,21242,"Suter, Daniel M.",,,,,,,,,,,,,,,,,,,,,100.0%,,,,,,,,,
,,69500,Neurological Disorders Seminar,202210,Fall 2021,016,21653,"Paschou, Peristera",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BME,BME-Biomedical Engineering,20100,"Biomol:Strct,Funct,Apl",202210,Fall 2021,001,12627,"Solorio, Luis",52.3%,,,,18.6%,,12.8%,4.7%,,8.1%,,,3.5%,,,,,,,,,,,,,,,,,
,,,,,,002,25079,"Solorio, Luis",67.6%,,,,5.4%,,20.3%,1.4%,,2.7%,,,1.4%,,1.4%,,,,,,,,,,,,,,,
,,20500,Biomolec & Cellular Syst Lab,202210,Fall 2021,003,26460,"Linnes, Michael P.",37.5%,33.3%,,,4.2%,4.2%,20.8%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,004,26461,"Linnes, Michael P.",31.8%,40.9%,4.5%,,4.5%,,18.2%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,005,26462,"Linnes, Michael P.",15.8%,52.6%,10.5%,,10.5%,,10.5%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,006,26463,"Linnes, Michael P.",34.8%,39.1%,,,4.3%,4.3%,17.4%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,007,26464,"Linnes, Michael P.",25.0%,29.2%,,,8.3%,,29.2%,8.3%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,008,26465,"Linnes, Michael P.",45.8%,45.8%,4.2%,,4.2%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,009,26466,"Linnes, Michael P.",33.3%,37.5%,4.2%,,12.5%,,8.3%,,,4.2%,,,,,,,,,,,,,,,,,,,,
,,29000,Frontiers In BME,202210,Fall 2021,001,13182,"Linkel, Corey D.",98.7%,,,,,,,,,,,1.3%,,,,,,,,,,,,,,,,,,
,,,,,,002,25053,"Linkel, Corey D.",95.1%,1.2%,,,,,,,1.2%,,,2.4%,,,,,,,,,,,,,,,,,,
,,29500,Intro To Biomechnl Analysis,202210,Fall 2021,024,24252,"Nauman, Eric A.",28.2%,7.1%,9.4%,,20.0%,3.5%,10.6%,10.6%,1.2%,3.5%,1.2%,,1.2%,,2.4%,,,,,,,,,,,1.2%,,,,
,,,,,,025,24253,"Jenkins, Thomas L.",6.4%,9.0%,5.1%,,10.3%,11.5%,14.1%,10.3%,11.5%,11.5%,,,2.6%,,7.7%,,,,,,,,,,,,,,,
,,30100,Bioelectricity,202210,Fall 2021,001,12636,"Jayant, Krishna",29.0%,24.2%,,,14.5%,11.3%,8.1%,1.6%,,8.1%,,,,,,,,,,,,,,,,3.2%,,,,
,,,,,,002,22044,"Makin, Maria C.",24.0%,13.3%,33.3%,,8.0%,5.3%,14.7%,1.3%,,,,,,,,,,,,,,,,,,,,,,
,,30400,Transport Fundamentals,202210,Fall 2021,001,46018,"Brubaker, Douglas K.",9.2%,13.2%,5.3%,,19.7%,13.2%,14.5%,7.9%,5.3%,5.3%,1.3%,,1.3%,,2.6%,,,,,,,,,,,1.3%,,,,
,,,,,,002,24254,"Rayz, Vitaliy L.",18.0%,6.6%,4.9%,,21.3%,11.5%,3.3%,9.8%,8.2%,11.5%,,3.3%,,,1.6%,,,,,,,,,,,,,,,
,,30500,Bioinstr Circ&Meas Prn,202210,Fall 2021,002,54265,"Rispoli, Joseph V.",23.9%,22.0%,1.8%,,24.8%,6.4%,10.1%,0.9%,2.8%,6.4%,,,,,,,,,,,,,,,,0.9%,,,,
,,,,,,007,24262,"Rispoli, Joseph V.",20.7%,10.3%,,,31.0%,,27.6%,6.9%,,,3.4%,,,,,,,,,,,,,,,,,,,
,,40100,"Bio, Med, And Health Analysis",202210,Fall 2021,001,24300,"Pienaar, Elsje",36.2%,10.6%,48.9%,,,,2.1%,,,,,,,,,,2.1%,,,,,,,,,,,,,
,,45600,Mathematical Models Physiology,202210,Fall 2021,001,14795,"Babbs, Charles F.",19.4%,12.9%,,,64.5%,,,3.2%,,,,,,,,,,,,,,,,,,,,,,
,,46000,CV Mechanical Support & Device,202210,Fall 2021,001,14807,"Goergen, Craig J.",14.3%,32.1%,7.1%,,7.1%,,32.1%,3.6%,,3.6%,,,,,,,,,,,,,,,,,,,,
,,48901,Senior Design Project,202210,Fall 2021,004,20522,"Lee, Hyowon",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,005,20525,"Harbin, Sherry L.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,006,20528,"Lee, Chi Hwan",63.9%,22.2%,8.3%,,,,5.6%,,,,,,,,,,,,,,,,,,,,,,,
,,49000,Professional Elements Design,202210,Fall 2021,001,56898,"Lee, Hyowon",82.0%,10.8%,,,,,7.2%,,,,,,,,,,,,,,,,,,,,,,,
,,49500,Smart Healthcare Eng,202210,Fall 2021,001,26727,"Kong, Nan K.",8.3%,33.3%,16.7%,,16.7%,8.3%,16.7%,,,,,,,,,,,,,,,,,,,,,,,
,,50100,Biostatistics,202210,Fall 2021,MJD,21810,"Kim, Young L.",71.9%,,,,18.8%,,,4.7%,,,1.6%,,,,1.6%,,,,,,,,,,,1.6%,,,,
,,51100,Biomedical Signal Processing,202210,Fall 2021,MJD,24442,"Bharadwaj, Hari M.",25.0%,12.5%,12.5%,,18.8%,6.3%,9.4%,,,,,,,,3.1%,,3.1%,,,,3.1%,,,,,6.3%,,,,
,,55600,Intro To Clinical Medicine,202210,Fall 2021,MJD,21852,"Babbs, Charles F.",62.0%,,,2.0%,18.0%,,10.0%,6.0%,,,2.0%,,,,,,,,,,,,,,,,,,,
,,56100,Preclinical & Clinical Design,202210,Fall 2021,MJD,24381,"Lottes, Aaron E.",51.7%,17.2%,3.4%,3.4%,3.4%,3.4%,17.2%,,,,,,,,,,,,,,,,,,,,,,,
,,59500,Med Img & Diagnostic Tech,202210,Fall 2021,MJD,15711,"Huang, Fang",75.0%,5.6%,16.7%,,,,,,,,,,,,,,,,,,,,,,,2.8%,,,,
,,,Point Of Care Diagnostics,202210,Fall 2021,033,24503,"Linnes, Jacqueline C.",40.0%,36.7%,,,6.7%,,13.3%,,,3.3%,,,,,,,,,,,,,,,,,,,,
,,69000,BME Seminar,202210,Fall 2021,MJD,12659,"Ward, Matthew P.",,,,,,,,,,,,,,,,,,,,,,,97.1%,,,2.9%,,,,
,,69500,Critical Literature Analysis,202210,Fall 2021,041,19190,"Ward, Matthew P.",26.1%,17.4%,56.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMS,BMS-Basic Medical Sciences,20100,Appld Dmestic Animal Anatmy I,202210,Fall 2021,001,21478,"Hannon, Kevin M.",26.7%,6.7%,13.3%,,26.7%,6.7%,,6.7%,6.7%,,,,,,,,,,,,,,,,,6.7%,,,,
,,23100,Anatomy Vet Technicians,202210,Fall 2021,002,16723,"Hannon, Kevin M.",26.7%,10.0%,6.7%,,40.0%,10.0%,,3.3%,3.3%,,,,,,,,,,,,,,,,,,,,,
,,23200,Physiology Vet Technicians,202210,Fall 2021,001,53393,"Asem, Elikplimi K.",6.7%,6.7%,6.7%,,16.7%,16.7%,6.7%,10.0%,10.0%,16.7%,3.3%,,,,,,,,,,,,,,,,,,,
,,33100,Pharmacology For VT,202210,Fall 2021,003,22434,"Anderson, Melinda J.",11.1%,,,,40.7%,,7.4%,11.1%,,3.7%,7.4%,,14.8%,,,,,,,,,,,,,3.7%,,,,
,,53400,Systemic Mammalian Physiology,202210,Fall 2021,001,19551,"Shi, Riyi",46.2%,,,,30.8%,,,15.4%,,,,,,,,,,,,,,,,,,7.7%,,,,
,,80100,Gross Anatomy Of Dog And Cat,202210,Fall 2021,003,21976,"Hannon, Kevin M.",41.4%,13.8%,3.4%,,21.8%,2.3%,8.0%,4.6%,1.1%,2.3%,,,,,,,1.1%,,,,,,,,,,,,,
,,80400,Applied Anatomy Horse,202210,Fall 2021,001,12733,"Jaeger, Laurie A.",,,,,58.3%,,,41.7%,,,,,,,,,,,,,,,,,,,,,,
,,80700,Veterinary Cell & Tissue Bio I,202210,Fall 2021,005,20737,"Turek, John J.",17.2%,14.9%,2.3%,,24.1%,9.2%,14.9%,6.9%,1.1%,6.9%,,,,,1.1%,,1.1%,,,,,,,,,,,,,
,,81000,Foundations In Basic Med Sci,202210,Fall 2021,003,14861,"Andrisani, Ourania M.",12.8%,16.3%,7.0%,,24.4%,9.3%,18.6%,8.1%,2.3%,,,,,,1.2%,,,,,,,,,,,,,,,
,,81100,Physiology Of Dom Animals I,202210,Fall 2021,006,48821,"Mendrysa, Susan M.",28.7%,14.9%,6.9%,,12.6%,12.6%,10.3%,2.3%,2.3%,5.7%,1.1%,,1.1%,,,,1.1%,,,,,,,,,,,,,
,,81401,Pharmacology Princ And App,202210,Fall 2021,002,16658,"Anderson, Melinda J.",45.6%,,,,49.4%,,,5.1%,,,,,,,,,,,,,,,,,,,,,,
BTNY,BTNY-Botany & Plant Pathology,11000,Intro To Plant Science,202210,Fall 2021,059,17907,"Pruitt, Robert E.",14.3%,,,,37.4%,,,30.4%,,,7.4%,,,,2.6%,,,,0.4%,,5.2%,,,,,2.2%,,,,
,,12000,Principles Of Plant Biology I,202210,Fall 2021,001,22566,"Chagas Boavida, Leonor Maria de Fatima",8.5%,17.0%,,,19.1%,10.6%,2.1%,10.6%,6.4%,2.1%,,4.3%,4.3%,,8.5%,,4.3%,,,,,,,,,2.1%,,,,
,,20800,Intro To Plant Sci Res,202210,Fall 2021,013,23234,"Chagas Boavida, Leonor Maria de Fatima",22.7%,,59.1%,,4.5%,,,9.1%,,,4.5%,,,,,,,,,,,,,,,,,,,
,,26200,Plant Struct & Tissue Biology,202210,Fall 2021,012,23230,"Zhou, Yun",33.3%,8.3%,4.2%,,12.5%,16.7%,12.5%,,4.2%,4.2%,,,,,4.2%,,,,,,,,,,,,,,,
,,30100,Intro Plant Pathology,202210,Fall 2021,005,21834,"Loesch-Fries, Loretta S.",41.1%,,,,43.8%,,,11.0%,,,1.4%,,,,1.4%,,,,,,,,,,,1.4%,,,,
,,30400,Intro Weed Science,202210,Fall 2021,001,67404,"Young, Bryan G.",26.7%,,,,44.0%,,,18.7%,,,9.3%,,,,,,,,,,,,,,,1.3%,,,,
,,30500,Plant Evolution And Taxonomy,202210,Fall 2021,001,52190,"Mcadam, Scott",28.0%,20.0%,,,20.0%,8.0%,12.0%,,,,,,,,8.0%,,4.0%,,,,,,,,,,,,,
,,49700,Undergraduate Seminar,202210,Fall 2021,001,19777,"Johnson, William G.",71.4%,,,,28.6%,,,,,,,,,,,,,,,,,,,,,,,,,
,,50400,Advanced Weed Science,202210,Fall 2021,001,21565,"Young, Bryan G.",63.6%,,,,27.3%,,,9.1%,,,,,,,,,,,,,,,,,,,,,,
,,55000,Biology Of Fungi,202210,Fall 2021,002,24299,"Xu, Jin-Rong",61.5%,,,,7.7%,7.7%,15.4%,,,,,,,,,,,,,,7.7%,,,,,,,,,
CDIS,CDIS-Critical Disability Std,23900,Intro To Disability Studies,202210,Fall 2021,001,22907,"Linett, Maren T.",16.7%,37.5%,,,8.3%,,37.5%,,,,,,,,,,,,,,,,,,,,,,,
CE,CE-Civil Engineering,20300,Princ & Pract Geomtics,202210,Fall 2021,001,12822,"Crawford, Melba M.",4.2%,8.3%,0.6%,,17.9%,14.3%,19.0%,6.0%,1.8%,17.3%,0.6%,,1.2%,,3.0%,,,,,,,,,,,6.0%,,,,
,,21101,Thermal & Energy Sciences,202210,Fall 2021,001,24627,"Boor, Brandon E.",13.0%,21.3%,7.4%,,9.3%,5.6%,7.4%,2.8%,5.6%,6.5%,0.9%,1.9%,,,7.4%,,2.8%,,,,,,,,,6.5%,,,,1.9%
,,22200,Life Cycle Engr Construct Fac,202210,Fall 2021,001,56746,"Cai, Hubo",17.2%,20.3%,9.4%,,15.6%,6.3%,9.4%,7.8%,,1.6%,1.6%,,,,6.3%,,,,,,,,,,,4.7%,,,,
,,27000,Intro Strctrl Mchncs,202210,Fall 2021,001,12841,"Prakash, Arun",6.8%,2.7%,,,6.8%,13.7%,2.7%,8.2%,12.3%,4.1%,16.4%,,,,23.3%,,,,,,,,,,,2.7%,,,,
,,29202,Contemporary Issues In CE,202210,Fall 2021,001,11182,"Tompkins, John C.",83.4%,,,,9.2%,,,1.8%,,,0.6%,,,,4.3%,,,,,,,,,,,0.6%,,,,
,,29700,Basic Mech I Statics,202210,Fall 2021,001,12848,"Irfanoglu, Ayhan",22.6%,7.8%,3.5%,,17.4%,4.3%,1.7%,6.1%,6.1%,10.4%,3.5%,2.6%,1.7%,,8.7%,,,,,,,,,,,3.5%,,,,
,,,,,,002,12849,"Irfanoglu, Ayhan",16.8%,4.4%,2.7%,,12.4%,4.4%,8.0%,7.1%,6.2%,8.8%,7.1%,0.9%,2.7%,,15.0%,,,,,,,,,,,3.5%,,,,
,,29800,Basic Mech II Dynamics,202210,Fall 2021,001,12850,"Guzey, Sukru",14.3%,7.1%,3.1%,,11.2%,5.1%,6.1%,8.2%,14.3%,11.2%,7.1%,,,,7.1%,,1.0%,,,,,,,,,4.1%,,,,
,,29900,Intro To Engineering Of Water,202210,Fall 2021,004,21082,"Troy, Cary D.",5.3%,26.3%,68.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Next Generation Mobility,202210,Fall 2021,006,25798,"Bullock, Darcy M.",96.7%,,,,,,,,,,3.3%,,,,,,,,,,,,,,,,,,,
,,31100,Architectural Engr,202210,Fall 2021,001,18544,"Jung, Nusrat",33.3%,16.7%,16.7%,,12.5%,4.2%,6.3%,2.1%,,2.1%,2.1%,,,,,,,,,,,,,,,,,,,4.2%
,,32201,Proj Cntrl Life Cyc Constr Fac,202210,Fall 2021,002,64714,"Mohammadhasanzadeh, Sogand",17.5%,27.5%,10.0%,,17.5%,5.0%,17.5%,,,2.5%,2.5%,,,,,,,,,,,,,,,,,,,
,,33500,Civil Engineering Materials,202210,Fall 2021,009,27675,"Olek, Jan",7.8%,4.5%,0.6%,,20.1%,22.7%,18.2%,6.5%,5.2%,9.1%,0.6%,,,,3.9%,,0.6%,,,,,,,,,,,,,
,,34000,Hydraulics,202210,Fall 2021,003,16625,"Lyn, Dennis A.",6.9%,6.4%,2.5%,,8.3%,10.3%,5.9%,11.8%,19.6%,7.8%,2.5%,2.0%,2.9%,,6.9%,,,,,,,,,,,6.4%,,,,
,,34300,Elem Hydraulics Lab,202210,Fall 2021,001,12863,"Lu, Mingda",56.5%,,,,39.1%,,,4.3%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,004,12866,"Li, Pin-Ching",50.0%,,,,45.5%,,,4.5%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,005,12867,"Ghanghas, Ankit",39.1%,,,,52.2%,,,4.3%,,,,,,,,,,,,,,,,,,4.3%,,,,
,,,,,,006,12868,"Lyn, Dennis A.",66.7%,,,,19.0%,,,9.5%,,,4.8%,,,,,,,,,,,,,,,,,,,
,,,,,,008,53878,"Lu, Mingda",63.6%,,,,27.3%,,,9.1%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,009,53879,"Ahsan, Tasmiah",56.5%,,,,34.8%,,,4.3%,,,,,,,,,,,,,,,,,,4.3%,,,,
,,,,,,010,19246,"Ahsan, Tasmiah",52.2%,,,,34.8%,,,13.0%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,011,25460,"Lyn, Dennis A.",50.0%,,,,31.8%,,,9.1%,,,4.5%,,,,,,,,,,,,,,,4.5%,,,,
,,35000,Intro Env And Ecol Engineering,202210,Fall 2021,001,12870,"Hua, Inez",13.1%,13.1%,,,24.6%,4.9%,14.8%,1.6%,,11.5%,1.6%,3.3%,3.3%,,4.9%,,,,,,,,,,,1.6%,1.6%,,,
,,35500,Eng Env Sustainability,202210,Fall 2021,001,13683,"Nies, Loring F.",76.0%,12.0%,,,,,4.0%,,,4.0%,,,,,,,,,,,,,,,,4.0%,,,,
,,,,,,002,13685,"Nies, Loring F.",48.0%,36.0%,,,4.0%,4.0%,4.0%,,4.0%,,,,,,,,,,,,,,,,,,,,,
,,36100,Transportation Engr,202210,Fall 2021,001,12873,"Bullock, Darcy M.",17.3%,,,,38.3%,1.2%,1.2%,21.0%,4.9%,1.2%,13.6%,1.2%,,,,,,,,,,,,,,,,,,
,,37100,Structural Analysis I,202210,Fall 2021,001,12874,"Jahanshahi, Mohammad Reza",10.0%,7.8%,4.4%,1.1%,12.2%,12.2%,8.9%,2.2%,3.3%,11.1%,2.2%,2.2%,6.7%,,13.3%,,,,,,,,,,,2.2%,,,,
,,38300,Geotechnical Engr I,202210,Fall 2021,001,12876,"Salgado, Rodrigo",13.5%,20.3%,2.7%,,10.8%,10.8%,23.0%,5.4%,1.4%,6.8%,,1.4%,,,1.4%,,,,,,,,,,,,,,,2.7%
,,39201,Technical Communication In CE,202210,Fall 2021,001,12833,"Tompkins, John C.",76.6%,,,,11.7%,,,2.6%,,,3.9%,,,,3.9%,,,,,,,,,,,1.3%,,,,
,,39800,Intro CE Systems Dsgn,202210,Fall 2021,001,12884,"Labi, Samuel",27.1%,22.9%,7.1%,,12.9%,5.7%,18.6%,1.4%,,1.4%,,,,,,,1.4%,,,,,,,,,,,,,1.4%
,,41300,Bldg Envelp Dsgn & Thrml Load,202210,Fall 2021,001,24237,"Tzempelikos, Athanasios",21.4%,32.1%,10.7%,,3.6%,7.1%,17.9%,7.1%,,,,,,,,,,,,,,,,,,,,,,
,,44000,Urban Hydraulics,202210,Fall 2021,001,12893,"Govindaraju, Rao S.",21.7%,11.6%,5.8%,,24.6%,7.2%,11.6%,5.8%,2.9%,4.3%,1.4%,,,,1.4%,,,,,,,,,,,1.4%,,,,
,,45600,Wastewater Treatment Processes,202210,Fall 2021,001,13438,"Zhou, Zhi",39.1%,13.0%,13.0%,,13.0%,,21.7%,,,,,,,,,,,,,,,,,,,,,,,
,,46100,Rodwy And Pvmnt Design,202210,Fall 2021,001,15570,"Haddock, John E.",10.3%,17.9%,5.1%,,25.6%,7.7%,17.9%,,2.6%,10.3%,,,,,2.6%,,,,,,,,,,,,,,,
,,46300,Highway Transportation,202210,Fall 2021,002,20484,"Tarko, Andrew P.",6.7%,13.3%,40.0%,,6.7%,,6.7%,6.7%,6.7%,13.3%,,,,,,,,,,,,,,,,,,,,
,,47000,Struct Steel Design,202210,Fall 2021,001,12898,"Connor, Robert J.",4.9%,7.3%,,,2.4%,19.5%,9.8%,17.1%,12.2%,14.6%,2.4%,,4.9%,,4.9%,,,,,,,,,,,,,,,
,,47300,Reinf Concrete Design,202210,Fall 2021,005,59593,"Ramirez, Julio A.",16.9%,18.3%,,,19.7%,7.0%,28.2%,2.8%,1.4%,2.8%,,,,,2.8%,,,,,,,,,,,,,,,
,,47900,Design Bldg Comp & Sys,202210,Fall 2021,001,23429,"Khalifah, Susan M.",13.6%,22.7%,,2.3%,11.4%,9.1%,22.7%,2.3%,,9.1%,2.3%,,2.3%,,,,,,,,,,,,,2.3%,,,,
,,48300,Geotechnical Engr II,202210,Fall 2021,002,53802,"Prezzi, Monica",30.0%,22.0%,6.0%,,16.0%,2.0%,20.0%,,,,,,,,,,,,,,,,,,,,,,,4.0%
,,49700,Ldrshp & Adv Proj Mgmt,202210,Fall 2021,021,48957,"Bowen, Robert L.",25.0%,12.5%,,,18.8%,25.0%,18.8%,,,,,,,,,,,,,,,,,,,,,,,
,,49800,C E Design Project,202210,Fall 2021,001,12913,"Jacko, Robert B.",85.7%,,,,14.3%,,,,,,,,,,,,,,,,,,,,,,,,,
,,51401,Building Controls,202210,Fall 2021,001,23432,"Qu, Ming",26.7%,20.0%,,,6.7%,,33.3%,,,6.7%,,,,,,,,,,,,,,,,6.7%,,,,
,,51501,Building Energy Audits,202210,Fall 2021,001,23433,"Horton, William T.",83.3%,8.3%,,,,,8.3%,,,,,,,,,,,,,,,,,,,,,,,
,,52000,Const Proj Cntl Systms,202210,Fall 2021,002,17466,"Abraham, Dulcy M.",15.8%,39.5%,,,13.2%,,26.3%,,,,,,,,,,,,,,,,,,,5.3%,,,,
,,53000,Properties Concrete,202210,Fall 2021,002,26541,"Velay Lizancos, Maria Mirian",52.0%,,16.0%,,12.0%,,12.0%,4.0%,,,4.0%,,,,,,,,,,,,,,,,,,,
,,54300,Coastal Engineering,202210,Fall 2021,001,19634,"Troy, Cary D.",18.2%,27.3%,27.3%,,5.5%,5.5%,10.9%,,,1.8%,1.8%,,,,,,,,,,,,,,,1.8%,,,,
,,54900,Cmptnl Wtrshd Hydrlgy,202210,Fall 2021,001,24342,"Merwade, Venkatesh M.",60.0%,15.0%,,,5.0%,5.0%,5.0%,10.0%,,,,,,,,,,,,,,,,,,,,,,
,,55000,Phy Chm Pro Env Eng I,202210,Fall 2021,001,20490,"Blatchley, Ernest R.",37.5%,,,,56.3%,,,,,,,,,,,,,,,,,,,,,6.3%,,,,
,,55700,Air Quality Management,202210,Fall 2021,001,12929,"Jacko, Robert B.",70.0%,,,,25.0%,,,,,,,,,,5.0%,,,,,,,,,,,,,,,
