Subject;Subject Desc;Course Number;Title;Academic Period;Academic Period Desc;Section;CRN;Instructor;A;A-;A+;AU;B;B-;B+;C;C-;C+;D;D-;D+;E;F;I;N;P;PI;S;SI;U;W;
;;;;;;006;41074;Cory, Clark A.;63.0%;;11.1%;;;;7.4%;3.7%;;;;;;;7.4%;;;;;;;;7.4%;
;;37000;Heavy Civil Construction Mgmt;202620;Spring 2026;001;10309;Guan, Shanyue;43.8%;12.5%;6.3%;;9.4%;3.1%;18.8%;6.3%;;;;;;;;;;;;;;;;
;;37300;Healthcare Construction Mgmt;202620;Spring 2026;001;10308;Benhart, Bradley L.;80.6%;8.3%;;;;;;2.8%;;2.8%;;;;;5.6%;;;;;;;;;
;;37500;Mech And Elec Constr Mgmt II;202620;Spring 2026;001;10321;Wyman, Dan A.;31.4%;11.4%;51.4%;;2.9%;;;;;;;;;;2.9%;;;;;;;;;
;;37700;Residential Const Design-Build;202620;Spring 2026;001;10322;Manuel, Joseph R.;26.7%;5.0%;40.0%;;11.7%;1.7%;10.0%;1.7%;;3.3%;;;;;;;;;;;;;;
;;38000;Soils And Foundations;202620;Spring 2026;001;25634;Guan, Shanyue;41.8%;18.2%;3.6%;;10.9%;5.5%;14.5%;1.8%;;3.6%;;;;;;;;;;;;;;
;;40000;Construction Capstone I;202620;Spring 2026;001;11196;Benhart, Bradley L.;56.2%;16.4%;;;12.3%;1.4%;6.8%;2.7%;;4.1%;;;;;;;;;;;;;;
;;43300;Risk & Legal Design/Constr;202620;Spring 2026;001;25186;Eichorn, Gregory A.;2.5%;28.6%;0.8%;0.8%;15.1%;9.2%;28.6%;3.4%;0.8%;6.7%;;;0.8%;;0.8%;;;;;;;;1.7%;
;;45001;Construction Capstone II;202620;Spring 2026;001;26510;Cabral, Jessica A.;52.8%;10.1%;1.1%;;23.6%;1.1%;7.9%;1.1%;;;;;;;;1.1%;;;;;;;1.1%;
;;45701;Construction Safety;202620;Spring 2026;001;25180;Jenkins, James L.;62.5%;;;;20.0%;;;15.0%;;;;;;;;;;;;;;;2.5%;
;;;;;;002;25181;Jenkins, James L.;42.5%;;;;42.5%;;;10.0%;;;2.5%;;;;2.5%;;;;;;;;;
;;46000;BIM IV: Model Curation - Cloud;202620;Spring 2026;003;68940;Cory, Clark A.;62.5%;;16.7%;;;4.2%;16.7%;;;;;;;;;;;;;;;;;
;;47500;Construction Costs;202620;Spring 2026;001;25187;Li, Qingchun;18.8%;6.3%;16.7%;;18.8%;6.3%;8.3%;12.5%;;10.4%;;;;;2.1%;;;;;;;;;
;;58100;Urban Resilience & Sustain;202620;Spring 2026;008;40226;Li, Qingchun;52.9%;;47.1%;;;;;;;;;;;;;;;;;;;;;
CNIT;CNIT-Computer & Info Tech;10500;Intro To C Program;202620;Spring 2026;001;13147;Salem, Tawfiq M.;27.1%;18.6%;7.1%;;14.3%;4.3%;8.6%;5.7%;;2.9%;2.9%;;1.4%;;2.9%;;;;;;;;4.3%;
;;13600;PC Tech & Applications;202620;Spring 2026;Y01;57718;Boowuo, Henrietta;47.8%;12.0%;;;8.6%;3.3%;7.2%;3.8%;2.4%;3.3%;;1.4%;;;2.4%;;;;;;;;7.7%;
;;15501;Intro To Software Dev Concepts;202620;Spring 2026;SC1;11701;Salem, Tawfiq M.;28.0%;18.3%;3.2%;;13.3%;6.4%;16.5%;3.2%;0.9%;4.1%;0.5%;0.9%;1.4%;;1.4%;;;;;;;;1.8%;
;;17500;Visual Programming;202620;Spring 2026;002;13184;Raza, Usman;21.1%;18.4%;;;13.2%;7.9%;21.1%;5.3%;2.6%;2.6%;;;;;;;;;;;;;7.9%;
;;17600;Info Tech Architecture;202620;Spring 2026;043;10942;Hiday, Lawrence A.;28.7%;;;;38.0%;;;15.7%;;;3.7%;;;;2.8%;;;;;;;;11.1%;
;;;;;;044;10944;Hiday, Lawrence A.;39.8%;;;;32.7%;;;13.3%;;;3.5%;;;;8.0%;;;;;;;;2.7%;
;;18000;Intro To Systems Devel;202620;Spring 2026;008;12437;Ledbetter, William C.;17.0%;29.8%;4.3%;;10.6%;10.6%;4.3%;4.3%;;2.1%;;4.3%;2.1%;;8.5%;;;;;;;;2.1%;
;;18200;System & Org Security;202620;Spring 2026;001;15404;Josekutty Thomas, Paul;29.2%;12.3%;9.2%;;6.2%;4.6%;12.3%;6.2%;4.6%;7.7%;1.5%;;;;6.2%;;;;;;;;;
;;24200;System Administration;202620;Spring 2026;001;34380;Trampski, Mathew J.;15.7%;;;;43.1%;;;28.8%;;;3.9%;;;;2.6%;;;;;;;;5.9%;
;;25501;Obj-Oriented Prog Introduction;202620;Spring 2026;001;11728;Smith, Eunsun C.;42.4%;17.5%;7.9%;;9.0%;2.3%;10.7%;2.8%;1.1%;2.3%;0.6%;0.6%;;;1.7%;;;;;;;;1.1%;
;;27000;Cybersecurity Fundamentals I;202620;Spring 2026;SC1;12439;Zuel, Brian C.;34.1%;;;;35.0%;;;15.0%;;;2.8%;;;;6.9%;;;;;;;;6.1%;
;;27100;Cybersecurity Fundamentals II;202620;Spring 2026;005;15460;Bhatt, Smriti;59.7%;;;;25.2%;;;5.8%;;;1.4%;;;;2.9%;;;;;;;;5.0%;
;;27200;Database Fundamentals;202620;Spring 2026;001;13217;Smith, Eunsun C.;25.6%;18.5%;1.8%;;12.5%;5.4%;11.9%;6.0%;2.4%;4.2%;;0.6%;;;4.2%;;;;;;;;7.1%;
;;28000;Syst Analysis & Design;202620;Spring 2026;002;69007;Magana Deleon, Alejandra J.;24.1%;20.7%;6.9%;;15.5%;6.9%;3.4%;10.3%;;5.2%;;;3.4%;;3.4%;;;;;;;;;
;;31500;Systems Programming;202620;Spring 2026;002;57722;Matson, Eric T.;27.2%;;;;42.4%;;;18.5%;;;4.3%;;;;4.3%;;;;;;;;3.3%;
;;;Systems Programming-Honors;202620;Spring 2026;002;57722;Matson, Eric T.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;32000;Pol, Reg & Global Info Tech;202620;Spring 2026;001;11647;Ledbetter, William C.;75.9%;;;;20.7%;;;3.4%;;;;;;;;;;;;;;;;
;;32200;Research Methodology & Design;202620;Spring 2026;003;20056;Ledbetter, William C.;29.4%;;10.3%;;23.5%;;13.2%;4.4%;;7.4%;1.5%;;1.5%;;4.4%;;;;;;;;4.4%;
;;32300;Basic Cyberforensics;202620;Spring 2026;001;10353;Thompson, Marcus A.;28.2%;;;;41.0%;;;17.9%;;;4.3%;;;;4.3%;;;;;;;;4.3%;
;;32500;OO Application Development;202620;Spring 2026;003;15270;Matson, Eric T.;62.5%;5.0%;;;25.0%;;;5.0%;2.5%;;;;;;;;;;;;;;;
;;34000;UNIX Administration;202620;Spring 2026;001;25467;Hacker, Thomas J.;20.3%;13.8%;;;38.2%;6.5%;;11.4%;0.8%;;;;;;2.4%;;;;;;;;6.5%;
;;34220;Network Administration;202620;Spring 2026;001;12586;Hiday, Lawrence A.;8.0%;;;;47.8%;;;34.1%;;;2.2%;;;;7.2%;;;;;;;;0.7%;
;;34400;Network Engr Fundamentals;202620;Spring 2026;001;13809;Deadman, Robert C.;7.8%;;;;45.0%;;;33.3%;;;2.3%;;;;9.3%;;;0.8%;;;;;1.6%;
;;34500;Internet Desgn&Implem;202620;Spring 2026;001;41361;Hiday, Lawrence A.;39.0%;;;;41.5%;;;14.6%;;;;;;;;;;;;;;;4.9%;
;;34600;Wireless Networks;202620;Spring 2026;001;17034;Smith, Anthony H.;24.3%;5.4%;;2.7%;32.4%;5.4%;2.7%;16.2%;;2.7%;5.4%;2.7%;;;;;;;;;;;;
;;;Wireless Networks-Honors;202620;Spring 2026;001;17034;Smith, Anthony H.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;37000;Introduction To Cryptography;202620;Spring 2026;001;17859;Sun, Wenhai;27.4%;;;;55.8%;;;11.5%;;;1.8%;;;;1.8%;;;;;;;;1.8%;
;;37100;Cyberlaw And Ethics;202620;Spring 2026;001;10397;Morales, Carlos R.;21.1%;6.3%;58.9%;;3.2%;3.2%;6.3%;1.1%;;;;;;;;;;;;;;;;
;;38000;Adv Analysis & Design;202620;Spring 2026;001;12441;Casner, Melissa R.;84.4%;;;;3.1%;;3.1%;3.1%;;;;;;;3.1%;;;;;;;;3.1%;
;;38101;AI Fund: Lit, Apps, & Resp Use;202620;Spring 2026;013;41861;Aggrawal, Sakhi;66.7%;;;;13.3%;;;13.3%;;;;;;;6.7%;;;;;;;;;
;;;Quality Engineering In IT;202620;Spring 2026;011;18722;Josekutty Thomas, Paul;29.4%;17.6%;29.4%;;;11.8%;5.9%;;;;;;;;;;;;;;;;5.9%;
;;39200;Enterprise Data Mgmt;202620;Spring 2026;001;13250;Pradhan, Romila;4.8%;13.1%;11.9%;;16.7%;7.1%;9.5%;9.5%;3.6%;10.7%;2.4%;;3.6%;;2.4%;;;;;;;;4.8%;
;;42200;Cyber Criminology;202620;Spring 2026;001;18373;Ringenberg, Tatiana R.;23.6%;;;;56.1%;;;13.5%;;;3.4%;;;;1.4%;;;;;;;;2.0%;
;;44500;Adv Ntwrk Rout &Switch;202620;Spring 2026;002;41348;Deadman, Robert C.;85.0%;;;;15.0%;;;;;;;;;;;;;;;;;;;
;;45500;Network Security;202620;Spring 2026;007;23471;Rawles, Phillip T.;5.8%;1.9%;;;25.2%;18.4%;5.8%;24.3%;4.9%;5.8%;4.9%;;2.9%;;;;;;;;;;;
;;45600;Wireless Secur & Mgmt;202620;Spring 2026;001;34398;Smith, Anthony H.;35.3%;17.6%;;;17.6%;;29.4%;;;;;;;;;;;;;;;;;
;;47000;Incident Response Management;202620;Spring 2026;001;16952;Ho, Samuel Li Feng;62.2%;;10.5%;;9.1%;;16.1%;0.7%;;1.4%;;;;;;;;;;;;;;
;;47100;Vuln Analysis & Testing;202620;Spring 2026;003;20155;Zuel, Brian C.;20.3%;;;;48.4%;;;28.1%;;;;;;;1.6%;;;;;;;;1.6%;
;;;;;;014;40776;Zuel, Brian C.;23.5%;;;;42.6%;;;22.1%;;;2.9%;;;;2.9%;;;;;;;;5.9%;
;;48000;Manag Info Tech Projct;202620;Spring 2026;001;13263;Josekutty Thomas, Paul;23.7%;19.4%;2.9%;;14.4%;5.0%;15.8%;5.8%;2.9%;5.8%;0.7%;0.7%;;;1.4%;;;;;;;;1.4%;
;;48200;Six Sigma Data Quality;202620;Spring 2026;026;21652;Laux, Chad M.;71.4%;;;;8.6%;;11.4%;;;2.9%;;;2.9%;;;2.9%;;;;;;;;
;;48300;Applied Machine Learning;202620;Spring 2026;003;24807;Kocsis, Jin;63.0%;;;;7.4%;;20.4%;;;1.9%;;;1.9%;;;;;;;;;;3.7%;1.9%
;;48400;Applications In Data Science;202620;Spring 2026;001;24814;Springer, John A.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;51200;Manag Rsrc & Appl Secur;202620;Spring 2026;002;67054;Dietz, J Eric;69.0%;;7.1%;;20.2%;;;1.2%;;;1.2%;;;;;;;;;;;;1.2%;
;;52500;Mobile Forensics;202620;Spring 2026;001;41350;Thompson, Marcus A.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;55501;Social Engineering Mitigation;202620;Spring 2026;001;39314;Ringenberg, Tatiana R.;95.2%;;;;4.8%;;;;;;;;;;;;;;;;;;;
;;55600;Computer Forensics;202620;Spring 2026;001;20745;Matulis, Nina L.;95.0%;;;;5.0%;;;;;;;;;;;;;;;;;;;
;;56600;Interactive Web Applications;202620;Spring 2026;001;39506;Li, Tianyi;23.5%;11.8%;58.8%;;;;5.9%;;;;;;;;;;;;;;;;;
;;57000;IT Data Analytics;202620;Spring 2026;001;31661;Springer, John A.;89.3%;;;;7.1%;;;;;;;;;;;;;;;;;;3.6%;
;;58100;Applied Gen AI In Mobile Comp;202620;Spring 2026;054;40624;Hu, Shu;11.6%;7.0%;74.4%;;;;2.3%;;;;;;;;;;;;;;;;4.7%;
;;62300;Teaching & Learning In Cmpting;202620;Spring 2026;015;39430;Magana Deleon, Alejandra J.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;Computational Humor Seminar;202620;Spring 2026;014;39318;Rayz, Julia M.;;;93.3%;;;;;;;;;;;;;6.7%;;;;;;;;
COM;COM-Communication;10200;Intro To Com Theory;202620;Spring 2026;001;16418;Zulli, Diana G.;23.7%;15.8%;;;16.7%;9.6%;7.9%;5.3%;5.3%;7.9%;;0.9%;2.6%;;0.9%;;;;;;;;3.5%;
;;11400;Fundament Of Speech;202620;Spring 2026;201;11499;Golando, Constance M.;33.3%;33.3%;;;9.5%;;9.5%;4.8%;;4.8%;;;;;;;;;;;;;4.8%;
;;;;;;317;11481;Boesch, Yuliya N.;72.7%;13.6%;;;4.5%;;4.5%;4.5%;;;;;;;;;;;;;;;;
;;;;;;403;11523;Gerald, Maggie L.;36.8%;31.6%;;;15.8%;5.3%;;;;5.3%;;;;;5.3%;;;;;;;;;
;;;;;;404;11529;Martin, Caleb A.;47.8%;17.4%;;;13.0%;4.3%;4.3%;;4.3%;;4.3%;;;;4.3%;;;;;;;;;
;;;;;;407;11524;Delworth, Angeline Mills;50.0%;18.2%;;;22.7%;;9.1%;;;;;;;;;;;;;;;;;
;;;;;;544;13566;Mobolaji, Adeola O.;27.3%;22.7%;;;13.6%;9.1%;18.2%;4.5%;;;;;;;;;;;;;;;4.5%;
;;;;;;546;13569;Williams, Madison L.;38.1%;19.0%;;;23.8%;;4.8%;4.8%;;;4.8%;;;;;;;;;;;;4.8%;
;;;;;;548;13571;Salazar, Hannah N.;34.8%;13.0%;;;21.7%;;21.7%;4.3%;;;;;;;;;;;;;;;4.3%;
;;;;;;550;13573;Salazar, Hannah N.;45.8%;12.5%;;;20.8%;4.2%;8.3%;;;4.2%;;4.2%;;;;;;;;;;;;
;;;;;;552;13576;Boersma, Cari A.;33.3%;16.7%;;;37.5%;;;8.3%;;;4.2%;;;;;;;;;;;;;
;;;;;;632;15936;Smith, Carol E.;47.8%;8.7%;;;21.7%;4.3%;8.7%;4.3%;;;;;;;;;;;;;;;4.3%;
;;;;;;644;12618;Stocker, Jessica L.;73.7%;15.8%;;;;;;10.5%;;;;;;;;;;;;;;;;
;;;;;;645;12619;Strickler, Joseph A.;31.6%;42.1%;;;;;26.3%;;;;;;;;;;;;;;;;;
;;;;;;646;26771;Lawson, Andrea L.;55.6%;5.6%;;;16.7%;;11.1%;;;;5.6%;;;;;;;;;;;;5.6%;
;;;;;;647;14970;Rosales-Burdin, Gloribel;52.6%;5.3%;;;21.1%;5.3%;10.5%;;;;;;;;5.3%;;;;;;;;;
;;;;;;648;30961;Boersma, Cari A.;26.1%;26.1%;;;17.4%;;13.0%;;;4.3%;;;;;;;;;;;;;13.0%;
;;;;;;649;33421;Schenk, Jayna M.;55.0%;15.0%;;;10.0%;;;;;;;;;;10.0%;;;;;;;;10.0%;
;;;;;;650;33422;Salazar, Hannah N.;26.1%;39.1%;;;4.3%;8.7%;4.3%;;;;4.3%;;;;4.3%;;;;;;;;8.7%;
;;;;;;654;33509;Piercy, Sydney A.;50.0%;16.7%;;;5.6%;;16.7%;5.6%;;;;;;;5.6%;;;;;;;;;
;;;;;;658;39665;White, Genevieve K.;30.4%;8.7%;;;43.5%;;;8.7%;;;;;;;;;;;;;;;8.7%;
;;;;;;659;39666;Albitz, Michelle L.;8.7%;17.4%;;;34.8%;8.7%;8.7%;8.7%;;8.7%;;;;;;;;;;;;;4.3%;
;;;;;;660;39667;Albitz, Michelle L.;27.3%;9.1%;;;18.2%;9.1%;18.2%;9.1%;;4.5%;;;;;;;;;;;;;4.5%;
;;;;;;661;39668;Albitz, Michelle L.;33.3%;16.7%;;;8.3%;4.2%;12.5%;8.3%;4.2%;;4.2%;;4.2%;;4.2%;;;;;;;;;
;;;;;;662;39702;Mobolaji, Adeola O.;21.7%;26.1%;;;21.7%;13.0%;8.7%;;;;;;;;4.3%;;;;;;;;4.3%;
;;;;;;663;39703;Bittinger, Michael D.;29.2%;16.7%;;;12.5%;4.2%;20.8%;12.5%;;;;;;;;;;;;;;;4.2%;
;;;;;;664;39705;Boersma, Cari A.;17.4%;26.1%;;;30.4%;4.3%;8.7%;4.3%;4.3%;;4.3%;;;;;;;;;;;;;
;;;;;;665;39706;Mohammed, Inusah;16.7%;12.5%;;;33.3%;8.3%;8.3%;4.2%;;8.3%;;;;;4.2%;;;;;;;;4.2%;
;;;;;;666;39707;Engelberth, Nathan P.;20.8%;33.3%;;;4.2%;8.3%;8.3%;;4.2%;4.2%;;;4.2%;;;;;;;;;;12.5%;
;;;;;;667;39708;Porter, Allison L.;37.5%;12.5%;;;12.5%;;8.3%;12.5%;;4.2%;;;;;4.2%;;;;;;;;8.3%;
;;;;;;668;39709;Williams, Madison L.;33.3%;8.3%;;;16.7%;4.2%;4.2%;8.3%;8.3%;;4.2%;4.2%;4.2%;;;;;;;;;;4.2%;
;;;;;;669;39710;Eckart, Brooklyn;33.3%;4.8%;;;23.8%;9.5%;4.8%;9.5%;;;4.8%;;4.8%;;4.8%;;;;;;;;;
;;;;;;670;39711;Acosta-Roberts, Guadalupe E.;33.3%;25.0%;;;20.8%;;4.2%;4.2%;;;;;;;;;;4.2%;;;;;8.3%;
;;;;;;675;39736;Hedrick, Tamara R.;50.0%;15.0%;5.0%;;5.0%;;15.0%;5.0%;;;;;;;;;;;;;;;5.0%;
;;;;;;679;39743;Bowling, Roy N.;21.1%;42.1%;;;15.8%;;15.8%;5.3%;;;;;;;;;;;;;;;;
;;;;;;681;39745;Pendleton, Cassandra E.;15.8%;21.1%;;;26.3%;;21.1%;;;5.3%;;;;;;;;;;;;;10.5%;
;;;;;;682;39746;Queen-Link, Haylee D.;45.0%;25.0%;;;10.0%;;10.0%;5.0%;;5.0%;;;;;;;;;;;;;;
;;;;;;687;40135;Bantle, Donald O.;20.8%;25.0%;4.2%;;12.5%;12.5%;8.3%;4.2%;;8.3%;;;;;;;;;;;;;4.2%;
;;;;;;688;40136;Greulach, Samantha L.;12.5%;20.8%;;;8.3%;;12.5%;8.3%;8.3%;12.5%;8.3%;;;;4.2%;;;;;;;;4.2%;
;;;;;;689;40137;Hall, Jennifer M.;39.1%;4.3%;4.3%;;34.8%;4.3%;8.7%;;;;;;;;;;;;;;;;4.3%;
;;;;;;690;40207;Yngve, Katherine N.;45.8%;4.2%;;;25.0%;4.2%;4.2%;8.3%;4.2%;;;;;;;;;;;;;;4.2%;
;;;;;;691;40208;Stogsdill, Gabrielle E.;41.7%;16.7%;;;20.8%;;8.3%;4.2%;;4.2%;4.2%;;;;;;;;;;;;;
;;;;;;692;40209;Kain, Nicolle L.;17.4%;21.7%;4.3%;;13.0%;8.7%;17.4%;;;17.4%;;;;;;;;;;;;;;
;;;;;;693;41335;Koehl, Daniel M.;5.6%;5.6%;;;16.7%;22.2%;11.1%;;;5.6%;;5.6%;;;16.7%;;;;;;;;11.1%;
;;;;;;694;41937;Joya, Jessica J.;50.0%;6.3%;;;;;6.3%;6.3%;;18.8%;;;6.3%;;;;;;;;;;6.3%;
;;;Fundament Of Speech-Honors;202620;Spring 2026;317;11481;Boesch, Yuliya N.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;407;11524;Delworth, Angeline Mills;;;;;;;100.0%;;;;;;;;;;;;;;;;;
;;;;;;632;15936;Smith, Carol E.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;644;12618;Stocker, Jessica L.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;650;33422;Salazar, Hannah N.;;100.0%;;;;;;;;;;;;;;;;;;;;;;
;;;;;;660;39667;Albitz, Michelle L.;;;;;100.0%;;;;;;;;;;;;;;;;;;;
;;;;;;662;39702;Mobolaji, Adeola O.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;681;39745;Pendleton, Cassandra E.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;689;40137;Hall, Jennifer M.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;H04;39788;Salazar, Hannah N.;73.3%;;;;20.0%;6.7%;;;;;;;;;;;;;;;;;;
;;;;;;H07;40444;Mosher, Nicole M.;26.7%;20.0%;;;26.7%;;20.0%;;;6.7%;;;;;;;;;;;;;;
;;;;;;H08;40751;Stewart, Stephen R.;80.0%;5.0%;5.0%;;;;;;;5.0%;;;;;;;;;;;;;5.0%;
;;20400;Crit Perspectives Com;202620;Spring 2026;001;16530;Boyd, Joshua E.;10.0%;;3.1%;;18.5%;3.8%;2.3%;27.7%;6.2%;3.8%;1.5%;0.8%;1.5%;;12.3%;;;;;;;;8.5%;
;;;Crit Perspectives Com-Honors;202620;Spring 2026;001;16530;Boyd, Joshua E.;;;;;;;100.0%;;;;;;;;;;;;;;;;;
;;21200;Appr Stdy Interp Commn;202620;Spring 2026;004;16545;Greene, John O.;5.9%;5.9%;5.9%;;11.8%;5.9%;5.9%;11.8%;5.9%;11.8%;;5.9%;5.9%;;5.9%;;;;;;;;11.8%;
;;;;;;005;16541;Buehler, Emily M.;45.0%;5.0%;5.0%;;5.0%;10.0%;5.0%;20.0%;5.0%;;;;;;;;;;;;;;;
;;;;;;007;14175;Bowling, Roy N.;22.2%;5.6%;5.6%;;5.6%;5.6%;22.2%;5.6%;5.6%;16.7%;;;;;;;;;;;;;5.6%;
;;;;;;008;15996;Bradley, Lane M.;15.0%;10.0%;50.0%;;10.0%;5.0%;10.0%;;;;;;;;;;;;;;;;;
;;;;;;027;25683;Momade, Gladys M.;15.0%;25.0%;;;35.0%;5.0%;5.0%;5.0%;;5.0%;;;;;;;;;;;;;5.0%;
;;;;;;028;39683;Momade, Gladys M.;21.1%;15.8%;5.3%;;31.6%;5.3%;5.3%;5.3%;;;5.3%;;;;;;;;;;;;5.3%;
;;;;;;029;39684;Balmer, Alexis M.;10.0%;25.0%;10.0%;;5.0%;10.0%;15.0%;10.0%;5.0%;5.0%;;;;;5.0%;;;;;;;;;
;;;Appr Stdy Interp Commn-Honors;202620;Spring 2026;004;16545;Greene, John O.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;007;14175;Bowling, Roy N.;;;100.0%;;;;;;;;;;;;;;;;;;;;;
;;21700;Sci Writing & Present-Honors;202620;Spring 2026;001;52804;Mukhopadhyay, Anaggha;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;003;52806;Mohammed, Inusah;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;004;52805;Vaught, Megan F.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;007;45136;Wright, Jon D.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;009;45135;Mueller, Holly L.;;;;;;;100.0%;;;;;;;;;;;;;;;;;
;;;;;;011;10662;Mcnalley, Mark P.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;015;10664;Boersma, Cari A.;;;;;;;100.0%;;;;;;;;;;;;;;;;;
;;;;;;019;17244;Kirk, Mary K.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;024;12637;Person, Amanda C.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;026;25685;Crain, Steven D.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;028;26476;Grasham, Timothy M.;50.0%;;;;;;50.0%;;;;;;;;;;;;;;;;;
;;;;;;030;15051;Allwes, Beth A.;;100.0%;;;;;;;;;;;;;;;;;;;;;;
;;;;;;031;15052;O'Shea, Kevin J.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;042;39730;Latoz, Traci L.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;043;39731;Latoz, Traci L.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;047;40079;Mukhopadhyay, Anaggha;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;049;40081;Iserman, Adam D.;50.0%;50.0%;;;;;;;;;;;;;;;;;;;;;;
;;;;;;051;41457;Deyoe, Diana L.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;Sci Writing & Presentn-Honors;202620;Spring 2026;017;17221;Creech, Brett A.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;H25;25684;Albitz, Michelle L.;66.7%;22.2%;;;11.1%;;;;;;;;;;;;;;;;;;;
;;;;;;H28;20415;Ramirez, Devon R.;80.0%;5.0%;;;10.0%;;5.0%;;;;;;;;;;;;;;;;;
;;;Science Writing & Presentation;202620;Spring 2026;001;52804;Mukhopadhyay, Anaggha;73.7%;21.1%;;;;;5.3%;;;;;;;;;;;;;;;;;
;;;;;;002;52808;Evans, Chad A.;94.7%;;;;;;5.3%;;;;;;;;;;;;;;;;;
;;;;;;003;52806;Mohammed, Inusah;22.2%;22.2%;;;27.8%;;16.7%;;;;;;5.6%;;5.6%;;;;;;;;;
;;;;;;004;52805;Vaught, Megan F.;68.4%;;;;5.3%;;15.8%;;;;;;5.3%;;5.3%;;;;;;;;;
;;;;;;005;43715;Boersma, Cari A.;75.0%;15.0%;;;5.0%;;5.0%;;;;;;;;;;;;;;;;;
;;;;;;007;45136;Wright, Jon D.;58.8%;11.8%;;;;;23.5%;5.9%;;;;;;;;;;;;;;;;
;;;;;;008;45137;Crain, Steven D.;94.4%;5.6%;;;;;;;;;;;;;;;;;;;;;;
;;;;;;009;45135;Mueller, Holly L.;22.2%;33.3%;;;;;11.1%;5.6%;;5.6%;;;5.6%;;11.1%;;;;;;;;5.6%;
;;;;;;011;10662;Mcnalley, Mark P.;73.7%;5.3%;;;;;15.8%;;;;;;5.3%;;;;;;;;;;;
;;;;;;012;45140;Wright, Jon D.;80.0%;5.0%;;;10.0%;;5.0%;;;;;;;;;;;;;;;;;
;;;;;;014;45139;Wright, Jon D.;45.0%;15.0%;;;10.0%;5.0%;;15.0%;;5.0%;;;;;5.0%;;;;;;;;;
;;;;;;015;10664;Boersma, Cari A.;63.2%;21.1%;;;10.5%;5.3%;;;;;;;;;;;;;;;;;;
;;;;;;017;17221;Creech, Brett A.;78.9%;;;;10.5%;;;5.3%;;;;;;;;;;;;;;;5.3%;
;;;;;;018;17243;Goodrich, Negin H.;65.0%;15.0%;;;5.0%;;;5.0%;;;5.0%;;;;;;;;;;;;5.0%;
;;;;;;019;17244;Kirk, Mary K.;44.4%;5.6%;;;33.3%;;11.1%;5.6%;;;;;;;;;;;;;;;;
;;;;;;021;17252;Goodrich, Negin H.;75.0%;5.0%;;;5.0%;5.0%;10.0%;;;;;;;;;;;;;;;;;
;;;;;;022;12635;Crain, Steven D.;75.0%;10.0%;;;5.0%;;10.0%;;;;;;;;;;;;;;;;;
;;;;;;023;12636;Dufault, Sean G.;25.0%;12.5%;;;25.0%;;12.5%;6.3%;;;;;6.3%;;6.3%;;;;;;;;6.3%;
;;;;;;024;12637;Person, Amanda C.;68.4%;5.3%;;;10.5%;;5.3%;5.3%;;;5.3%;;;;;;;;;;;;;
;;;;;;026;25685;Crain, Steven D.;83.3%;11.1%;;;;;5.6%;;;;;;;;;;;;;;;;;
;;;;;;027;25686;Crain, Steven D.;95.0%;5.0%;;;;;;;;;;;;;;;;;;;;;;
;;;;;;028;26476;Grasham, Timothy M.;44.4%;5.6%;;;11.1%;5.6%;33.3%;;;;;;;;;;;;;;;;;
;;;;;;030;15051;Allwes, Beth A.;73.7%;10.5%;;;10.5%;;5.3%;;;;;;;;;;;;;;;;;
;;;;;;031;15052;O'Shea, Kevin J.;52.6%;10.5%;;;5.3%;5.3%;15.8%;5.3%;;;;;;;5.3%;;;;;;;;;
;;;;;;037;39718;Wagner, Amy B.;65.0%;10.0%;;;15.0%;;10.0%;;;;;;;;;;;;;;;;;
