Subject;Subject Desc;Course Number;Title;Academic Period;Academic Period Desc;Section;CRN;Instructor;A;A-;A+;AU;B;B-;B+;C;C-;C+;D;D-;D+;E;F;I;N;P;PI;S;SI;U;W;
;;;;;;323;16042;Koloski, Seth M.;62.5%;4.2%;;;4.2%;4.2%;8.3%;;;4.2%;;;;;;;;;;;;;12.5%;
;;;;;;324;16043;Gupta, Archit;79.2%;12.5%;;;;4.2%;4.2%;;;;;;;;;;;;;;;;;
;;;;;;325;16045;Suthaharan, Sivanujan;87.5%;;;;;;;;;4.2%;;;4.2%;;;;;;;;;;4.2%;
;;;;;;326;16036;Ananthaswamy, Kavya;91.3%;4.3%;;;;;4.3%;;;;;;;;;;;;;;;;;
;;;;;;327;16037;Olayemi, Temitope E.;79.2%;8.3%;;;;;4.2%;;;4.2%;;;;;4.2%;;;;;;;;;
;;;;;;328;16038;Paul, Aritrika;50.0%;29.2%;;;;;8.3%;4.2%;;4.2%;;;;;;;;;;;;;4.2%;
;;;;;;329;16039;Uzokboev, Shakhzodjon;70.8%;;;;4.2%;;12.5%;;;4.2%;;;4.2%;;;;;;;;;;4.2%;
;;;;;;332;16052;Le, Hoai Anh;83.3%;4.2%;;;;;8.3%;;;;;;;;;;;;;;;;4.2%;
;;;;;;333;16053;Brown, Megan M.;79.2%;8.3%;;;;;8.3%;;;;;;;;;;;;;;;;4.2%;
;;;;;;334;16054;Ridgleyjones, Dejuan L.;70.8%;;;;8.3%;;4.2%;4.2%;;;;;12.5%;;;;;;;;;;;
;;;;;;335;16056;Ataei, Shiva;79.2%;8.3%;;;;4.2%;4.2%;;4.2%;;;;;;;;;;;;;;;
;;;;;;336;16047;Khan, Shaista Ijaz;82.6%;4.3%;;;;;4.3%;4.3%;;;;;;;;;;;;;;;4.3%;
;;;;;;337;16049;Gallagher, Jacklyn M.;75.0%;4.2%;;;4.2%;;12.5%;;;;;;;;;;;;;;;;4.2%;
;;;;;;338;16050;Jen, Hung-Hsiang;79.2%;8.3%;;;;;12.5%;;;;;;;;;;;;;;;;;
;;;;;;339;16051;Lee, Teresa;70.8%;16.7%;;;;;4.2%;;;8.3%;;;;;;;;;;;;;;
;;;;;;410;16009;Koloski, Seth M.;66.7%;12.5%;;;;;8.3%;;4.2%;;;;;;;;;;;;;;8.3%;
;;;;;;411;16013;Gachema, Maryanne W.;62.5%;8.3%;;;;4.2%;20.8%;;;;;;;;;;;;;;;;4.2%;
;;;;;;412;16014;Lukov, Laura L.;87.5%;;;;;;4.2%;;4.2%;;;;;;;;;;;;;;4.2%;
;;;;;;413;16015;Duvall, Philip L.;72.7%;13.6%;;;;4.5%;9.1%;;;;;;;;;;;;;;;;;
;;;;;;414;16002;Lubinsky, Thomas G.;79.2%;8.3%;;;;;4.2%;;4.2%;4.2%;;;;;;;;;;;;;;
;;;;;;415;16005;Zhang, Xinyu;58.3%;20.8%;;;;4.2%;4.2%;;;;;4.2%;;;4.2%;;;;;;;;4.2%;
;;;;;;416;16007;Gray, Ryan H.;47.8%;8.7%;;;;4.3%;17.4%;4.3%;;;;;;;13.0%;;;;;;;;4.3%;
;;;;;;417;16008;Gachema, Maryanne W.;50.0%;4.2%;;;;4.2%;12.5%;;4.2%;12.5%;;;4.2%;;;;;;;;;;8.3%;
;;;;;;418;16027;Ataei, Shiva;54.5%;13.6%;;;9.1%;;13.6%;;;4.5%;;;;;;;;;;;;;4.5%;
;;;;;;419;16029;Uzokboev, Shakhzodjon;91.7%;;;;;;;4.2%;4.2%;;;;;;;;;;;;;;;
;;;;;;420;16032;Gorijala, Lithesh S.;81.8%;4.5%;;;4.5%;;;4.5%;;;;;;;;;;;;;;;4.5%;
;;;;;;421;16034;Maxwell, Kristine M.;79.2%;12.5%;;;4.2%;;4.2%;;;;;;;;;;;;;;;;;
;;;;;;422;16016;Dicesare, Jake T.;75.0%;8.3%;;;;;4.2%;;;;;;;;;4.2%;;;;;;;8.3%;
;;;;;;423;16017;Slowinski, Roman P.;79.2%;4.2%;;;4.2%;;8.3%;;;;;;;;4.2%;;;;;;;;;
;;;;;;424;16024;Ananthaswamy, Kavya;87.5%;8.3%;;;;;;;;;;;4.2%;;;;;;;;;;;
;;;;;;425;16025;Olayemi, Temitope E.;45.8%;8.3%;;;8.3%;;12.5%;8.3%;;4.2%;;;4.2%;;;;;;;;;;8.3%;
;;;;;;426;16131;Polichetti, Patrizia;83.3%;;;;4.2%;;4.2%;;8.3%;;;;;;;;;;;;;;;
;;;;;;427;16146;Grechi Doll, Emanuela;79.2%;8.3%;;;;;4.2%;4.2%;;;;;;;;;;;;;;;4.2%;
;;;;;;428;16151;Zhang, Xiao;83.3%;8.3%;;;4.2%;;4.2%;;;;;;;;;;;;;;;;;
;;;;;;429;16154;Gallagher, Jacklyn M.;66.7%;16.7%;;;4.2%;4.2%;;;;;;;;;4.2%;;;;;;;;4.2%;
;;;;;;430;16092;Vera, Jennifer L.;75.0%;8.3%;;;4.2%;;12.5%;;;;;;;;;;;;;;;;;
;;;;;;431;16125;Zwiller, Patrick W.;60.9%;4.3%;;;;8.7%;4.3%;;;8.7%;4.3%;;;;4.3%;;;;;;;;4.3%;
;;;;;;432;16129;Haruna, Maijidda;79.2%;8.3%;;;;;8.3%;;;;;;;;;;;;;;;;4.2%;
;;;;;;433;16130;Ruotsala, Zachary A.;83.3%;4.2%;;;;4.2%;8.3%;;;;;;;;;;;;;;;;;
;;;;;;434;16197;Brown, Megan M.;75.0%;4.2%;;;;;8.3%;;;;;;;;8.3%;;;;;;;;4.2%;
;;;;;;435;16199;Need, William I.;66.7%;8.3%;;;4.2%;;4.2%;;4.2%;;4.2%;;;;;;;;;;;;8.3%;
;;;;;;436;16202;Lee, Katherine J.;62.5%;12.5%;;;4.2%;;4.2%;;4.2%;4.2%;;;;;;;;;;;;;8.3%;
;;;;;;437;16207;Rocha, Cody;95.8%;;;;;;;;;;4.2%;;;;;;;;;;;;;
;;;;;;438;16158;Pronk, Austin J.;75.0%;12.5%;;;4.2%;;4.2%;;;;;;;;;;;;;;;;4.2%;
;;;;;;439;16164;Uddin, Md Jaish;83.3%;4.2%;;;4.2%;;4.2%;;;4.2%;;;;;;;;;;;;;;
;;;;;;510;16173;Gallo, Michael C.;43.5%;13.0%;;;;;8.7%;;4.3%;8.7%;;;;;8.7%;;;;;;;;13.0%;
;;;;;;511;16193;Slowinski, Roman P.;79.2%;8.3%;;;;;4.2%;;;4.2%;;;;;;;;;;;;;4.2%;
;;;;;;512;16063;Ridgleyjones, Dejuan L.;75.0%;4.2%;;;4.2%;4.2%;4.2%;;;;;;;;4.2%;;;;;;;;4.2%;
;;;;;;513;16064;Brown, Jacob L.;69.6%;13.0%;;;;;4.3%;;;4.3%;;;;;4.3%;;;;;;;;4.3%;
;;;;;;514;16065;Chan, Annika K.;73.9%;13.0%;;;8.7%;;;;;;;;4.3%;;;;;;;;;;;
;;;;;;515;16066;Smith, Abigail M.;58.3%;12.5%;;;4.2%;4.2%;8.3%;;;;;;;;4.2%;;;;;;;;8.3%;
;;;;;;516;16057;Koval, Joshua T.;72.7%;4.5%;;;;;4.5%;;;;;;4.5%;;;;;;;;;;13.6%;
;;;;;;517;16060;Le, Hoai Anh;87.5%;4.2%;;;;;4.2%;;;;;;;;;;;;;;;;4.2%;
;;;;;;518;16061;Lee, Teresa;69.6%;4.3%;;;;;21.7%;;;;;4.3%;;;;;;;;;;;;
;;;;;;519;16062;Kruger, Zachary T.;71.4%;9.5%;;;;4.8%;14.3%;;;;;;;;;;;;;;;;;
;;;;;;520;16077;Carrillo, Noah C.;54.2%;16.7%;;;12.5%;;4.2%;4.2%;;;;;4.2%;;;;;;;;;;4.2%;
;;;;;;521;16078;Smith, Abigail M.;41.7%;25.0%;;;4.2%;4.2%;12.5%;;;8.3%;4.2%;;;;;;;;;;;;;
;;;;;;522;16079;Uddin, Md Jaish;56.5%;17.4%;;;8.7%;;4.3%;;;4.3%;;;;;;;;;;;;;8.7%;
;;;;;;523;16081;Koval, Joshua T.;54.2%;16.7%;;;;;12.5%;4.2%;;;;;;;4.2%;;;;;;;;8.3%;
;;;;;;524;16067;Zhang, Xiao;78.3%;4.3%;;;8.7%;;;;;;;;;;;;;;;;;;8.7%;
;;;;;;525;16069;Chan, Annika K.;69.6%;8.7%;;;8.7%;;4.3%;;;;4.3%;;;;;;;;;;;;4.3%;
;;;;;;526;16075;Putman, Charles G.;70.8%;8.3%;;;;;8.3%;;;4.2%;4.2%;;;;4.2%;;;;;;;;;
;;;;;;527;16076;Khan, Shaista Ijaz;87.5%;8.3%;;;;;4.2%;;;;;;;;;;;;;;;;;
;;;;;;528;15959;Maxwell, Kristine M.;79.2%;8.3%;;;;;4.2%;;;;;;;;;;;;;;;;8.3%;
;;;;;;529;15966;De Cordoba, Nicolas A.;73.9%;8.7%;;;;;8.7%;;4.3%;;;;;;;;;;;;;;4.3%;
;;;;;;530;15967;Bayoumi, Akram K.;61.1%;5.6%;;;;;27.8%;;;5.6%;;;;;;;;;;;;;;
;;;;;;531;15968;Vera, Jennifer L.;70.8%;4.2%;;;4.2%;;8.3%;4.2%;;;;;;;;;;;;;;;8.3%;
;;;;;;532;15951;Blanco-Combariza, Cristian A.;82.6%;;;;;8.7%;;;;4.3%;;;;;;;;;;;;;4.3%;
;;;;;;533;15954;Ofori, Isaac;70.8%;12.5%;;;;;8.3%;;;4.2%;;;;;;;;;;;;;4.2%;
;;;;;;534;15956;Putman, Charles G.;58.3%;16.7%;;;4.2%;4.2%;8.3%;;4.2%;;;;;;;;;;;;;;4.2%;
;;;;;;535;15957;Gupta, Archit;75.0%;12.5%;;;;;12.5%;;;;;;;;;;;;;;;;;
;;;;;;536;15972;Wu, Kaixin;84.2%;5.3%;;;;;5.3%;;;;;;;;;;;;;;;;5.3%;
;;;;;;537;15980;Folarin, Hannah O.;76.5%;;;;5.9%;;11.8%;;;;;;;;;;;;;;;;5.9%;
;;;;;;538;15991;De Cordoba, Nicolas A.;47.1%;17.6%;;;;;5.9%;;;5.9%;;;5.9%;;5.9%;;;;;;;;11.8%;
;;;;;;539;15996;Murotani, Elizabeth R.;50.0%;31.8%;;;;4.5%;;;;9.1%;4.5%;;;;;;;;;;;;;
;;11610;General Chemistry II;202610;Fall 2025;001;16275;Nash, John J.;7.2%;8.8%;5.2%;;7.4%;9.3%;9.5%;9.7%;7.7%;9.0%;4.3%;3.4%;4.5%;;7.2%;;;;;;;;6.8%;
;;11620;General Chemistry II - Lab;202610;Fall 2025;231;16318;Cutrona-Bouillon, Tazio A.;47.8%;26.1%;;;13.0%;;8.7%;4.3%;;;;;;;;;;;;;;;;
;;;;;;232;16321;Sills, Joel T.;62.5%;8.3%;;;4.2%;;25.0%;;;;;;;;;;;;;;;;;
;;;;;;233;16320;Manoharan, Haritha;66.7%;20.8%;;;4.2%;4.2%;4.2%;;;;;;;;;;;;;;;;;
;;;;;;234;16315;Hendler, Marcos A.;33.3%;25.0%;;;;4.2%;29.2%;;;;;;4.2%;;;;;;;;;;4.2%;
;;;;;;311;16314;Lyon, Brantley K.;58.3%;;;;12.5%;4.2%;12.5%;;;;;;;;;;;;;;;;12.5%;
;;;;;;312;16317;Hendler, Marcos A.;58.3%;12.5%;;;8.3%;8.3%;;;;;;;;;;;;;;;;;12.5%;
;;;;;;313;16316;Wilson, Matthew R.;58.3%;12.5%;;;8.3%;4.2%;4.2%;;;;;;;;4.2%;;;;;;;;8.3%;
;;;;;;314;16334;Toba Veloza, David S.;65.2%;4.3%;;;;;13.0%;4.3%;;;;;;;4.3%;;;;;;;;8.7%;
;;;;;;315;30062;Capelozi De Freitas, Isabela;70.8%;12.5%;;;8.3%;4.2%;;4.2%;;;;;;;;;;;;;;;;
;;;;;;321;16332;Sills, Joel T.;75.0%;;;;;;12.5%;;;;;;;;8.3%;;;;;;;;4.2%;
;;;;;;322;16336;Presz, Chase J.;58.3%;4.2%;;;8.3%;;12.5%;8.3%;;;;4.2%;;;;;;;;;;;4.2%;
;;;;;;323;16335;Arabambi, Fatimah D.;58.3%;12.5%;;;4.2%;;;;4.2%;;;;;;;;;;;;;;20.8%;
;;;;;;324;16323;Yachuw, Stephen C.;62.5%;8.3%;;;8.3%;8.3%;8.3%;;;;;;4.2%;;;;;;;;;;;
;;;;;;325;16322;Sharpe, Steven A.;58.3%;12.5%;;;;;16.7%;;;;4.2%;;;;;;;;;;;;8.3%;
;;;;;;331;16325;Arabambi, Fatimah D.;73.9%;4.3%;;;;;17.4%;;;;;;;;;;;;;;;;4.3%;
;;;;;;332;16324;Sharpe, Steven A.;65.2%;4.3%;;;4.3%;;13.0%;;;4.3%;;;;;;;;;;;;;8.7%;
;;;;;;333;16309;Cutrona-Bouillon, Tazio A.;34.8%;17.4%;;;13.0%;;13.0%;4.3%;;8.7%;;;;;;;;;;;;;8.7%;
;;;;;;334;16308;Capelozi De Freitas, Isabela;58.3%;16.7%;;;4.2%;4.2%;12.5%;;;;;;;;4.2%;;;;;;;;;
;;;;;;335;16313;Manoharan, Haritha;65.2%;8.7%;;;4.3%;;13.0%;;;4.3%;;;;;;;;;;;;;4.3%;
;;;;;;411;30823;Toba Veloza, David S.;50.0%;8.3%;;;4.2%;4.2%;20.8%;;;4.2%;;;;;;;;;;;;;8.3%;
;;12500;Intro To Chemistry I;202610;Fall 2025;SC1;14361;Starr, Hannah E.;10.0%;16.0%;11.0%;;8.0%;8.0%;12.0%;8.0%;3.0%;9.0%;2.0%;;3.0%;;6.0%;;;;;;;;4.0%;
;;12901;Gen Chem With Bio Focus;202610;Fall 2025;001;10402;Schlebach, Jonathan P.;38.8%;;2.9%;;29.8%;;;12.2%;;;7.3%;;;;2.0%;;;;;;;;6.9%;
;;;;;;002;24552;Low-Nam, Shalini T.;37.5%;;4.2%;;31.1%;;;16.2%;;;6.5%;;;;1.6%;;;;;;;;2.9%;
;;13600;Gen Chem Honors;202610;Fall 2025;H01;23989;Wasserman, Adam;70.6%;;8.8%;;11.8%;;;5.9%;;;2.9%;;;;;;;;;;;;;
;;19400;Freshman Chm Orient;202610;Fall 2025;001;14371;Dinius, Todd A.;55.2%;;28.4%;;6.0%;;;4.5%;;;1.5%;;;;3.0%;;;;;;;;1.5%;
;;;;;;002;39426;Dinius, Todd A.;48.5%;;30.3%;;7.6%;;;10.6%;;;;;;;3.0%;;;;;;;;;
;;19700;Chm Freshman Honor Res;202610;Fall 2025;H01;14372;Schertz, Christine M.;92.3%;;7.7%;;;;;;;;;;;;;;;;;;;;;
;;24100;Intro Inorganic Chem;202610;Fall 2025;001;15320;Ren, Tong;18.4%;21.6%;2.4%;;14.4%;6.4%;20.8%;0.8%;1.6%;7.2%;;0.8%;1.6%;;0.8%;;;;;;;;3.2%;
;;25500;Org Chem Life Sci I;202610;Fall 2025;001;14378;Drown, Bryon S.;19.7%;;1.9%;;21.8%;;10.4%;12.1%;;14.7%;3.6%;;5.9%;;3.8%;;;;;;;;6.2%;
;;;;;;002;27655;Drown, Bryon S.;21.5%;;6.9%;;18.5%;;16.2%;9.2%;;10.0%;3.8%;;2.3%;;3.8%;;;;;;;;7.7%;
;;25501;Org Chem Life Sci Lab I;202610;Fall 2025;311;14390;Allabadi, Odai M.;76.2%;;;;19.0%;;;;;;;;;;;;;;;;;;4.8%;
;;;;;;312;40735;Cortes, Mauricio;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;313;14389;Fontanetta, Meghan M.;76.5%;;;;17.6%;;;;;;;;;;;;;;;;;;5.9%;
;;;;;;321;14385;Fatima, Sheeza;87.5%;;4.2%;;4.2%;;;;;;;;;;;;;;;;;;4.2%;
;;;;;;322;14387;Nguyen, Ngoc T.;78.3%;;13.0%;;4.3%;;;;;;;;;;;;;;;;;;4.3%;
;;;;;;323;14388;Ji, Fan;83.3%;;4.2%;;4.2%;;;;;;;;;;4.2%;;;;;;;;4.2%;
;;;;;;331;14386;Johnston, Bridger L.;82.6%;;;;17.4%;;;;;;;;;;;;;;;;;;;
;;;;;;332;48465;Locke, Angelina K.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;333;14383;Ellenson, Kyden A.;75.0%;;;;16.7%;;;;;;;;;;4.2%;;;;;;;;4.2%;
;;;;;;411;30825;Bratcher, Fox L.;72.7%;;;;18.2%;;;9.1%;;;;;;;;;;;;;;;;
;;;;;;521;14391;Furlow, Christopher T.;91.7%;;4.2%;;;;;4.2%;;;;;;;;;;;;;;;;
;;;;;;522;54073;Johnson, Lucas O.;91.7%;;;;4.2%;;;;;;;;;;;;;;;;;;4.2%;
;;;;;;523;20023;Birke, Josh M.;75.0%;;;;8.3%;;;8.3%;;;;;;;;;;;;;;;8.3%;
;;;;;;524;18604;Hagerty, Joseph B.;87.0%;;;;8.7%;;;;;;;;;;;;;;;;;;4.3%;
;;;;;;525;23324;Ellenson, Kyden A.;70.8%;;;;20.8%;;;;;;;;;;;;;;;;;;8.3%;
;;;;;;531;19265;Allabadi, Odai M.;76.2%;;;;19.0%;;;4.8%;;;;;;;;;;;;;;;;
;;;;;;532;23453;Birke, Josh M.;60.0%;;;;15.0%;;;10.0%;;;;;;;;;;;;;;;15.0%;
;;;;;;533;23401;Nasser, Aya A.;76.2%;;;;19.0%;;;;;;;;;;4.8%;;;;;;;;;
;;;;;;534;23402;Locke, Angelina K.;78.9%;;5.3%;;10.5%;;;5.3%;;;;;;;;;;;;;;;;
;;;;;;535;25062;Bratcher, Fox L.;58.3%;;;;37.5%;;;4.2%;;;;;;;;;;;;;;;;
;;;;;;536;28456;Cortes, Mauricio;75.0%;;;;20.8%;;;4.2%;;;;;;;;;;;;;;;;
;;;;;;537;28461;Biswas, Ratri;75.0%;;;;20.8%;;;4.2%;;;;;;;;;;;;;;;;
;;25600;Org Chem Life Sci II;202610;Fall 2025;001;14393;Kern, Mallory K.;24.1%;2.7%;16.7%;;14.7%;1.7%;3.9%;11.1%;1.5%;4.9%;6.4%;;2.9%;;5.2%;;;;;;;;4.2%;
;;;;;;002;23780;Kern, Mallory K.;20.7%;0.7%;24.4%;;15.6%;1.5%;3.7%;5.9%;1.5%;3.7%;7.4%;;0.7%;;8.1%;;;;;;;;5.9%;
;;;Org Chem Life Sci II-Honors;202610;Fall 2025;001;14393;Kern, Mallory K.;40.0%;;40.0%;;20.0%;;;;;;;;;;;;;;;;;;;
;;25601;Organic Chem Life Sci Lab II;202610;Fall 2025;111;10093;Chen, Szu-Han;95.0%;;5.0%;;;;;;;;;;;;;;;;;;;;;
;;;;;;112;14400;Singh, Mihir S.;82.4%;;;;11.8%;;;;;;;;;;;;;;;;;;5.9%;
;;;;;;113;14398;Dai, Tianyang;81.3%;;;;6.3%;;;6.3%;;;;;;;;;;;;;;;6.3%;
;;;;;;115;16576;Hardin, Maison C.;77.8%;;;;5.6%;;;5.6%;;;5.6%;;;;;;;;;;;;5.6%;
;;;;;;121;16675;Sharma, Tanya;83.3%;;8.3%;;8.3%;;;;;;;;;;;;;;;;;;;
;;;;;;122;14402;Little, Annika M.;95.5%;;;;4.5%;;;;;;;;;;;;;;;;;;;
;;;;;;123;16674;Dai, Tianyang;87.5%;;;;8.3%;;;4.2%;;;;;;;;;;;;;;;;
;;;;;;124;30057;Fan, Zixi;87.0%;;8.7%;;;;;;;;;;;;4.3%;;;;;;;;;
;;;;;;131;10094;Singh, Mihir S.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;132;16676;Saikia, Jyotishman;95.8%;;4.2%;;;;;;;;;;;;;;;;;;;;;
;;;;;;133;14399;Asghar, Amina;91.7%;;;;4.2%;;;;;;;;;;;;;;;;;;4.2%;
;;;;;;134;14401;Little, Annika M.;70.8%;;;;25.0%;;;;;;;;;;4.2%;;;;;;;;;
;;;;;;135;19827;Mitra, Saikat;91.7%;;;;4.2%;;;;;;;;;;;;;;;;;;4.2%;
;;;;;;211;22329;Hardin, Maison C.;95.8%;;;;;;;;;;;;;;;;;;;;;;4.2%;
;;;;;;212;22467;Fan, Zixi;87.5%;;8.3%;;4.2%;;;;;;;;;;;;;;;;;;;
;;;;;;213;22623;Barton, Sebastian B.;83.3%;;;;16.7%;;;;;;;;;;;;;;;;;;;
;;;;;;221;10355;Asghar, Amina;87.5%;;;;;;;;;;;;;;;;;;;;;;12.5%;
;;;;;;222;23409;Atencio Martinez, Cindy L.;75.0%;;16.7%;;4.2%;;;;;;;;;;4.2%;;;;;;;;;
;;;;;;223;23410;Grocki, Samuel B.;91.7%;;;;4.2%;;;4.2%;;;;;;;;;;;;;;;;
;;;;;;231;20251;Chen, Szu-Han;95.8%;;;;4.2%;;;;;;;;;;;;;;;;;;;
;;;;;;232;32146;Atencio Martinez, Cindy L.;91.7%;;;;;;;8.3%;;;;;;;;;;;;;;;;
;;;;;;233;32145;Kim, Taeho;95.8%;;;;4.2%;;;;;;;;;;;;;;;;;;;
;;25700;Organic Chemistry;202610;Fall 2025;001;14403;Ramachandran, Padinjaremadhom V.;7.3%;12.4%;19.7%;;11.8%;6.2%;9.0%;6.2%;6.2%;10.1%;1.1%;;2.2%;;1.1%;;;;;;;;6.7%;
;;25701;Organic Chem Lab;202610;Fall 2025;311;14410;Hutson, Hunter M.;45.5%;;4.5%;;27.3%;;;4.5%;;;4.5%;;;;9.1%;;;;;;;;4.5%;
;;;;;;331;14409;Furlow, Christopher T.;42.9%;;;;38.1%;;;9.5%;;;;;;;;;;;;;;;9.5%;
;;;;;;332;19340;Sen, Abhirup;68.8%;;18.8%;;12.5%;;;;;;;;;;;;;;;;;;;
;;26100;Organic Chemistry I;202610;Fall 2025;001;14411;Thompson, David H.;37.6%;;15.2%;;25.7%;;;17.1%;;;2.9%;;;;1.0%;;;;;;;;0.5%;
;;26300;Organic Chemistry Lab I;202610;Fall 2025;411;30058;Dasgupta, Sneha;47.8%;;47.8%;;;;;;;;4.3%;;;;;;;;;;;;;
;;;;;;412;30060;Bello, Lukman A.;70.8%;;4.2%;;8.3%;;8.3%;8.3%;;;;;;;;;;;;;;;;
;;;;;;421;14416;Marte De Aza, Alejandra Y.;70.8%;;4.2%;;12.5%;;8.3%;;;4.2%;;;;;;;;;;;;;;
;;;;;;422;14414;Bedda, Loay A.;45.8%;;45.8%;;;;8.3%;;;;;;;;;;;;;;;;;
;;;;;;431;14420;Bedda, Loay A.;75.0%;;12.5%;;8.3%;;;;;;4.2%;;;;;;;;;;;;;
;;;;;;432;14417;Galligan, Ashley J.;83.3%;;8.3%;;4.2%;;;4.2%;;;;;;;;;;;;;;;;
;;;;;;433;30828;Brincken, Jeremiah C.;41.7%;;4.2%;;20.8%;;12.5%;16.7%;;4.2%;;;;;;;;;;;;;;
;;;;;;511;14421;Marte De Aza, Alejandra Y.;44.4%;5.6%;5.6%;;16.7%;;11.1%;11.1%;;;;;;;5.6%;;;;;;;;;
;;;;;;512;14415;Brincken, Jeremiah C.;59.1%;;;;27.3%;;13.6%;;;;;;;;;;;;;;;;;
;;26500;Organic Chemistry Lab I;202610;Fall 2025;211;34261;Chowdhury, Vaskar;57.9%;;;;15.8%;;10.5%;10.5%;;;;;;;;;;;;;;;5.3%;
;;;;;;221;48414;Enlow, Charles R.;45.8%;;37.5%;;8.3%;;4.2%;;;;;;;;4.2%;;;;;;;;;
;;;;;;222;60179;Sathar, Bazil Muhammed;45.5%;;31.8%;;9.1%;;13.6%;;;;;;;;;;;;;;;;;
;;;;;;231;23424;Darko, Kwabena;36.4%;;40.9%;;4.5%;;9.1%;;;4.5%;4.5%;;;;;;;;;;;;;
;;;;;;232;26239;Bai, Yuntian;56.5%;;21.7%;;4.3%;;4.3%;4.3%;;;4.3%;;4.3%;;;;;;;;;;;
;;26505;Organic Chemistry I;202610;Fall 2025;001;36107;Lipton, Mark A.;31.7%;;11.3%;0.7%;19.7%;;6.3%;18.3%;;2.1%;4.9%;;;;2.8%;;;;;;;;2.1%;
;;26700;Organic Chem Lab I Honors;202610;Fall 2025;H31;26164;Dhanasinghe, Hidda Marakkala Jayani C.;87.5%;;6.3%;;6.3%;;;;;;;;;;;;;;;;;;;
;;29400;Sophomore Chm Seminar;202610;Fall 2025;001;23758;Schmidt, Gudrun;95.5%;;;;1.5%;;;0.8%;;;0.8%;;;;;;;;;;;;1.5%;
;;32100;Analytical Chemistry I;202610;Fall 2025;001;12424;Laskin, Julia;20.2%;10.6%;14.4%;;9.6%;7.7%;6.7%;5.8%;1.9%;2.9%;2.9%;;4.8%;;6.7%;;;;;;;;5.8%;
;;;Analytical Chemistry I-Honors;202610;Fall 2025;001;12424;Laskin, Julia;;;;;;;;100.0%;;;;;;;;;;;;;;;;
;;32700;Bioanalytical Chemistry;202610;Fall 2025;001;25346;Subramanian, Ramaswamy;56.5%;13.0%;8.7%;;17.4%;;4.3%;;;;;;;;;;;;;;;;;
;;34800;Bioinorganic Chemistry;202610;Fall 2025;001;30181;Wilker, Jonathan J.;80.6%;16.1%;;;;;;;;;;;;;;;;;;;;;3.2%;
;;37000;Topics In Physical Chm;202610;Fall 2025;001;14437;Liu, Lee;10.3%;17.2%;11.5%;;10.3%;12.6%;12.6%;3.4%;4.6%;3.4%;2.3%;1.1%;;;8.0%;;;;;;;;2.3%;
;;37300;Physical Chemistry I;202610;Fall 2025;001;14438;Chopra, Gaurav;26.0%;2.0%;22.0%;;17.0%;1.0%;13.0%;8.0%;;3.0%;5.0%;;;;2.0%;;;;;;;;1.0%;
;;37301;Physical Chemistry Lab I;202610;Fall 2025;001;25397;Bower, Paul W.;92.5%;2.2%;;;;1.1%;2.2%;2.2%;;;;;;;;;;;;;;;;
;;43300;Biochemistry;202610;Fall 2025;001;16545;Zacharioudakis, Emmanouil;28.8%;;;;34.2%;;;11.0%;;;23.3%;;;;1.4%;;;;;;;;1.4%;
;;48100;Environmental Chem;202610;Fall 2025;001;28285;Laskin, Alexander;10.0%;20.0%;;;10.0%;10.0%;;;;;;;20.0%;;;;;;;;;;30.0%;
;;;Environmental Chem-Honors;202610;Fall 2025;001;28285;Laskin, Alexander;;;;;;;;100.0%;;;;;;;;;;;;;;;;
;;49400;Jun-Sen Chem Seminar;202610;Fall 2025;001;14451;Wenthold, Paul G.;28.6%;3.6%;64.3%;;;;3.6%;;;;;;;;;;;;;;;;;
;;;;;;002;23847;Wenthold, Paul G.;8.7%;;87.0%;;4.3%;;;;;;;;;;;;;;;;;;;
;;49900;Special Assignments;202610;Fall 2025;020;41030;Chopra, Gaurav;58.3%;16.7%;25.0%;;;;;;;;;;;;;;;;;;;;;
;;;;;;047;35481;Low, Philip S.;30.0%;2.5%;62.5%;;;;;;;;;;;;2.5%;;;;;;;;2.5%;
;;;Special Assignments-Honors;202610;Fall 2025;047;35481;Low, Philip S.;;;100.0%;;;;;;;;;;;;;;;;;;;;;
;;56000;Org Spectroscop Analys;202610;Fall 2025;001;14490;Chmielewski, Jean A.;68.0%;;20.0%;;12.0%;;;;;;;;;;;;;;;;;;;
;;59900;Teaching In Chemistry;202610;Fall 2025;002;27585;Starr, Hannah E.;79.6%;;;;14.8%;;;3.7%;;;1.9%;;;;;;;;;;;;;
;;60500;Safety In Laboratory;202610;Fall 2025;001;14494;Bower, Paul W.;;;;;;;;;;;;;;;;;;;;83.8%;;4.1%;12.2%;
;;62000;Spectrochem Instrument;202610;Fall 2025;001;29785;Claridge, Shelley A.;20.8%;12.5%;8.3%;4.2%;33.3%;12.5%;;;;;;;;;;;;;;;;;8.3%;
;;62200;Chem Asp Of Mass Spec;202610;Fall 2025;001;14498;Kenttamaa, Hilkka I.;64.3%;;;14.3%;10.7%;;;3.6%;;;;;;;;;;3.6%;;;;;3.6%;
;;63200;Membrane: Struct/Fnctn;202610;Fall 2025;001;14500;Lyon, Angeline M.;25.0%;;18.8%;;31.3%;;25.0%;;;;;;;;;;;;;;;;;
